cve_id,package_guess,cwe_id,cvss_base_score,cvss_exploitability,vuln_count_12m,days_since_patch,patch_lag_days,has_exploit,dependency_depth,maintainer_activity,severity_label
CVE-2017-1540,and,CWE-79,5.4,2.3,146.0,,,0,,,MEDIUM
CVE-2017-1563,and,CWE-79,5.4,2.3,147.0,,,0,,,MEDIUM
CVE-2017-1567,and,CWE-79,5.4,2.3,148.0,,,0,,,MEDIUM
CVE-2017-1653,vulnerable,CWE-79,5.4,2.3,71.0,,,0,,,MEDIUM
CVE-2017-1000353,versions,CWE-502,9.8,3.9,11.0,2218.0,2218.0,1,1.0,0.0,CRITICAL
CVE-2017-1000355,versions,CWE-502,6.5,2.8,12.0,2218.0,2218.0,0,1.0,0.0,MEDIUM
CVE-2017-16861,was,NVD-CWE-noinfo,9.8,3.9,4.0,997.0,997.0,0,0.0,0.0,CRITICAL
CVE-2017-18034,source,CWE-79,5.4,2.3,1.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18039,resource,CWE-79,6.1,2.8,1.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18040,resource,CWE-79,5.4,2.3,2.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18041,resource,CWE-79,5.4,2.3,3.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18081,resource,CWE-79,6.1,2.8,4.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18082,plan,CWE-79,5.4,2.3,1.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18083,editinword,CWE-79,5.4,2.3,1.0,,,0,,,MEDIUM
CVE-2017-18084,usermacros,CWE-79,4.8,1.7,1.0,,,0,,,MEDIUM
CVE-2017-18085,viewdefaultdecorator,CWE-79,6.1,2.8,1.0,,,0,,,MEDIUM
CVE-2017-18086,resources,CWE-79,6.1,2.8,3.0,0.0,0.0,0,0.0,0.0,MEDIUM
CVE-2017-18121,module,CWE-79,6.1,2.8,1.0,,,0,,,MEDIUM
CVE-2018-6603,devices,CWE-74,6.1,2.8,3.0,,,0,,,MEDIUM
CVE-2018-6806,through,CWE-200,6.5,2.8,19.0,,,1,,,MEDIUM
CVE-2018-1382,vulnerable,CWE-79,5.4,2.3,45.0,,,0,,,MEDIUM
CVE-2018-6824,version,CWE-79,6.1,2.8,13.0,0.0,0.0,1,0.0,0.0,MEDIUM
CVE-2017-15387,enforcement,NVD-CWE-noinfo,8.8,2.8,2.0,,,0,,,HIGH
CVE-2011-4889,class,CWE-254,9.8,3.9,3.0,0.0,0.0,0,0.0,0.0,CRITICAL
CVE-2017-1761,and,CWE-79,6.1,2.8,142.0,,,0,,,MEDIUM
CVE-2018-1401,and,CWE-79,6.1,2.8,143.0,,,0,,,MEDIUM
